6,1,4,5,2,0,3
,ruptured,neoplasm,scratch marks,thrombus formation,,
,s condition,neurological disturbance,scratches indentation,thrombus timi flow,,
,saline,nickle allergy,severely calcified,ticagrelor,,
,scar tissue,nocturinal,shaft breaking,ticked in error,,
,scared,non calcification,shaft breaks,timi flow b,,
,scarring,non conformance records,shaft damaged,tip kink,,
,scars,non conformances dissection,shaft detachment,tissue prolapse,,
,schemia,non st elevation,shaft fracture,to bear weight cool,,
,scrape,non stemi,shaft fracture age,tortuosity,,
,scratch,nonconformities,shaft hole,tortuosity artery diameter mm,,
,scratched,normal sinus rhythm,shaft rupture,tortuosity calcification,,
,scratching,nose bleed,shaft separation,tortuosity deformation,,
,scuff,nosebleed,shaft tears,tortuosity resistance,,
,sedation,numbness,shocked back into rhythm,troponin elevation,,
,sediment,o cclusion,short of breath,troponin leak,,
,septic,obstructions,shortness of breath,troponin rise,,
,sequel,obstructs,shortness of breath difficulty,tumor dilation,,
,sequela,occlusion decontraction,shortness of breathing,tumoral process,,
,severity,of damage,shortness with breath,tumoric ectasia,,
,shite,om occlusion,shredding,twist in extrusion,,
,shock liver,ostium stenosis,slight resistance,twisted bent shaft,,
,shock state,other deformation,slightly opened,type b dissection,,
,shocked,outflow obstruction,slow flow symptoms,ulcers sores,,
,shockwave,p pwi,small filling defect,valvular leak,,
,short stenosis,pac s,small perfusion defect,vaso spasm,,
,shred,packing damage,small vein filling,vasoconstriction,,
,shrink,pains,soft tissue thickening,vasoconstrictions,,
,side branch,pale face,st depressions,vasopressors,,
,sinus,palpitation,st elevation mi,vasospasm,,
,sinus rhythm,palpitations,st elevations,vein graf,,
,skin condition,palsy,st rhythm changes,venticular fibrillation,,
,skin reaction,paravalvu,st segment abnormality,ventricle fibrillation,,
,skin tear,partial break,st segment changes,ventricular fibrillation,,
,skuba,patent graf,st segment depression,ventricular tachycardia,,
,slow inflation,patent hem,st segment elevation,vessel angulation,,
,snapped,patent stent,st wave depression,vessel calcification,,
,snaring,patent vessel,stabbing sensation,vessel curvature,,
,soft plaque,pauses,stenosed lesions,vessel damage,,
,soft tip,pea condition,stenosis deformation,vessel deformation,,
,solidified,pea rhythm,strain relief,vessel dilatation,,
,spasm,perforated,stream of contrast,vessel dissection,,
,spasms,perforation,stretched crimp impressions,vessel failure,,
,spastic appearance,perfusion defect,stretching damage,vessel occlusion,,
,spicula,phary,stretching damages,vessel perforation,,
,spike,pieced torn,stuck resistance,vessel perforation ventric,,
,spikes,plaque burden,sudden cardiac death,vessel recoil,,
,split cut,plaque leak,supporting breath,vessel spasm,,
,squash,plaque load,swarf like,vessel spasms,,
,st depression,plaque prolapse,swelling bulge,vessel tortuosity,,
,st wave,plaque shift,t wave abnormalities,vessel tortuosity deformation problem,,
,stenosed,plavix resistant,t wave abnormality,vf wave,,
,stenosis,pneumonia,t wave flattening,white thrombus,,
,stenotic,polydipsia,tandem lesions,wire lumen break,,
,stent dislodgement,post dilatation,tear rupture,x synergy drug,,
,stent imprint,posterior expansion,tear sites,zotarolimus,,
,sterility,pouch seals,tearing damage,,,
,sternal,pre dilatation,tearing force,,,
,stiff,pre dilation,tears holes,,,
,stitch,pre dilations,tears of holes,,,
,stomach bleed,premature dislodgement,tears or holes,,,
,stomachache,pressure drop,tenting force,,,
,strained,pressurization,three strokes,,,
,strange image,procedural delay,three vessel disease,,,
,strength corrosion,procedural factor b,tightening of chest,,,
,stretched strut,prodrome,tightness angina,,,
,stretched tip,prostaglandin effect,timi flow and,,,
,strokes,pulmonary disf,tingling down,,,
,struggle,pulmonary embolism,tingling sensation,,,
,stuck,pulseless,tip peeling,,,
,sudden change,pulselessness,tissue changes,,,
,sudden changes,pupillary response,torn stretching,,,
,sudden death,pupils,tortuous calcified,,,
,suffocation,q wave,tortuous vessel,,,
,suppression,qrs rhythm,tortuousity or calcification,,,
,sweats,radial scratch,total coronary occlusions,,,
,swollen,radial tear,tri arterial pattern,,,
,syncopa,rapid vent,tripple vessel disease,,,
,syncope,rashes,twisting damage,,,
,synergy,rca stenosis,twisting stretching,,,
,synergy des,reaction symptoms,two vessel disease,,,
,system motion,recanal,unable angina,,,
,tachy,recirculation,unusual force tension,,,
,tachycard,recoil issue,urine output,,,
,tachycardia,recussitation,vacuum pulled,,,
,tears,reflow phenomenon,vascular blockage,,,
,tender,reflow situation,vascular calcification,,,
,tip tear,rehabilitation,vascular complications,,,
,tired,reintervention,vascular event,,,
,tiredness,relief break,vascular lesions,,,
,to anatomy,renal insuf,vascular symptoms,,,
,torn tip,residues,vessel injury,,,
,total occlusion,resistance friction,visible pinhole,,,
,tremor,restenosed,vomiting,,,
,tubular stenosis,restenosis,wave inversion,,,
,turned curly,restensosis,weakened condition,,,
,twisted bunch,resurgence,wear and tear,,,
,twisting,resuscitate,worsening of symptoms,,,
,type a,resuscitation,,,,
,type b,retroperito,,,,
,type c,rhonchi,,,,
,type d,rigid structure,,,,
,type diabetes,rigor mortis,,,,
,type mi,rippled effect,,,,
,ulcer,run off,,,,
,ulcers,rupture leak,,,,
,unconscious,s syncope,,,,
,uncovered,scraping,,,,
,untreated,scratches,,,,
,unwell,segment detached,,,,
,vagal reaction,sent damage,,,,
,venous confluence,separations breaks,,,,
,violation,sepsis,,,,
,volume loss,septal,,,,
,volume overload,septal infarct,,,,
,wave depression,septal infract,,,,
,wave mi,septicemia,,,,
,weaken,sequaelae,,,,
,weakness,sequalae,,,,
,weeping,sequelae,,,,
,wheezes,serial dilatations,,,,
,wheezing,shaft per,,,,
,wire bias,shaft tear,,,,
,withdrawal difficulty,shakes,,,,
,without flow,sheared,,,,
,without pulse,shocks,,,,
,wound,shortness breath,,,,
,x balloon,shredded,,,,
,x syn,side branch occlusion,,,,
,x synergy,sinus arrest,,,,
,xience,skimped,,,,
,,sluggis,,,,
,,slumped,,,,
,,solidified blood,,,,
,,sore throat,,,,
,,soreness,,,,
,,sores,,,,
,,spiral corona,,,,
,,spiral dissection,,,,
,,spo loss,,,,
,,spoiled,,,,
,,st changes,,,,
,,stable angina,,,,
,,stent break,,,,
,,stent damage,,,,
,,stent deformation,,,,
,,stent malposition,,,,
,,stent occlusion,,,,
,,stiffness,,,,
,,strange reaction,,,,
,,strangeness,,,,
,,stress angina,,,,
,,stretched misalignment,,,,
,,stroke event,,,,
,,strut break,,,,
,,strut damage,,,,
,,strut disruption,,,,
,,stubbed,,,,
,,stuck issue,,,,
,,subarachnoid hemorrhage,,,,
,,succumbed to,,,,
,,sudden blockage,,,,
,,summary bends,,,,
,,summary deformation,,,,
,,swallowing,,,,
,,sweatiness,,,,
,,syncopal episode,,,,
,,syncope collapse,,,,
,,syncope stroke,,,,
,,synergy ou,,,,
,,synergy ste,,,,
,,synergy x,,,,
,,synergystent,,,,
,,systole,,,,
,,t hat,,,,
,,t waves,,,,
,,tear hole,,,,
,,tear leak,,,,
,,tear rip,,,,
,,tear site,,,,
,,tenderness,,,,
,,thombus,,,,
,,timi flow,,,,
,,timi iii,,,,
,,tip break,,,,
,,tip deformation,,,,
,,torn shaft,,,,
,,tortiousity,,,,
,,tortuosity stenosis,,,,
,,tortuous,,,,
,,tortuous curve,,,,
,,tortuousity,,,,
,,tortuousness,,,,
,,tremors,,,,
,,troponins,,,,
,,tumor,,,,
,,tumoral,,,,
,,twisted state,,,,
,,type perforation,,,,
,,ulceration,,,,
,,unclear etiology,,,,
,,uncomfortable,,,,
,,undamaged,,,,
,,unhinged,,,,
,,unraveled,,,,
,,unrecover,,,,
,,unstable angina,,,,
,,unstable condition,,,,
,,unstable state,,,,
,,unstable stent,,,,
,,unsteady,,,,
,,unsterile,,,,
,,upset,,,,
,,urosepsis,,,,
,,valve disease,,,,
,,vascular access,,,,
,,vascular tear,,,,
,,vascular tortuosity,,,,
,,vasculitis,,,,
,,vasopressor need,,,,
,,vein stenosis,,,,
,,vomit,,,,
,,vomited,,,,
,,waist,,,,
,,weight gain,,,,
,,wet skin,,,,
,,wire broke,,,,
,,wire damage,,,,
,,withdrawal difficulties,,,,
,,withdrawal resistance,,,,
,,worsen,,,,
,,wounds,,,,
,,wriggled,,,,
,,wrinkled,,,,
,,wrinkles,,,,
,,xpedition,,,,
